"LH_AnimalID","LH_AnimalCode","Sex","FirstDate","MiguelCorrected","MiguelComments"
"Xopo","Xop","M","2020-11-23","",""
"Moesa","Moes","f","2020-11-24","",""
"Reenval","Ree","M","2020-11-24","",""
"Rivier","Rivi","F","2020-11-24","",""
"Spanspek","Span","F","2020-11-24","",""
"Sylinder","Syl","M","2020-11-24","",""
"Muis","Mui","M","2020-11-25","",""
"Bangalore","Bang","F","2020-11-26","",""
"Deja","Deja","F","2020-12-07","",""
"Loki","Loki","F","2020-12-07","",""
"Delta","Delt","F","2020-12-11","",""
"Gubudu","Gub","M","2020-12-11","",""
"Palmela","Palm","F","2020-12-17","",""
"Lugano","Lug","M","2020-12-21","",""
"Naartjie","Naa","M","2020-12-21","",""
"Ndondo","Ndo","M","2021-01-04","",""
"Sion","Sio","M","2021-01-06","",""
"Rimini","Rim","M","2021-01-11","",""
"Udupi","Udup","F","2021-01-19","",""
"Bougainville","Bou","M","2021-03-24","",""
"DodgyKnee","Dodg","F","2021-04-16","",""
"Bukubuku","Buk","M","2021-05-11","",""
"Tchakalaka","Tch","M","2021-05-11","",""
"Cayman","Cay","M","2021-05-19","",""
"WavyEars","WavyEars","M","2021-05-21","",""
"Goose","Goos","F","2021-05-25","",""
"Goose","Goos","F","2021-05-25","",""
"Duckie","Duc","M","2021-05-27","",""
"Okefenokee","Oke","M","2021-05-31","",""
"Tevere","Tev","M","2021-05-31","",""
"Holey","Hole","F","2021-06-01","",""
"PointyEars","PointyEars","M","2021-06-01","",""
"Zuni","Zuni","F","2021-06-01","",""
"Etosha","Eto","M","2021-06-02","",""
"Apa","Apa","M","2021-06-04","",""
"Momo","Mom","M","2021-06-04","",""
"BigEars",NA,"M","2021-06-06","",""
"PlainJane","Pla","M","2021-06-14","",""
"Skhumbuzo","Skh","M","2021-06-15","",""
"Barry","Barr","F","2021-07-28","",""
"Clarence","Clar","F","2021-07-28","",""
"Elbar","Elba","F","2021-07-28","",""
"Nora","Nora","F","2021-07-28","",""
"Yodo","Yodo","F","2021-10-03","",""
"Nul","Nul","M","2021-10-06","",""
"Amstel","Amst","F","2021-10-12","",""
"Nukke","Nuk","M","2021-10-18","",""
"Piesang","Pie","M","2021-10-18","",""
"Xihau","Xih","M","2021-10-21","",""
"Gasket","Gas","M","2021-10-25","",""
"Montreal","Mon","M","2021-10-25","",""
"Askies","Ask","M","2021-10-27","",""
"Padkos","Padk","F","2021-10-27","",""
"Primavera","Prim","F","2021-10-28","",""
"Eier","Eie","M","2021-11-02","",""
"Ndlovu","Ndl","M","2021-11-02","",""
"Rafaela","Rafa","F","2021-11-02","",""
"Gomonqo","Gom","M","2021-11-03","",""
"Grive","Griv","F","2021-11-03","",""
"Haaigranaat","Haai","F","2021-11-04","",""
"Hemel","Hem","M","2021-11-04","",""
"Nkomo","Nko","M","2021-11-04","",""
"Omelet","Ome","M","2021-11-04","",""
"Galeria","Gale","F","2021-11-05","",""
"Nyala","Nyal","F","2021-11-05","",""
"Purper","Pur","M","2021-11-05","",""
"Utica","Utic","M","2021-11-06","",""
"Bethlehem","Bet","M","2021-11-08","",""
"Rivas","Riva","F","2021-11-08","",""
"Xarès","Xar","M","2021-11-08","",""
"Nihiru","Nihi","F","2021-11-09","",""
"Nooit","Noo","M","2021-11-09","",""
"Slang","Sla","M","2021-11-09","",""
"Gobela","Gobe","F","2021-11-12","",""
"Spek","Spe","M","2021-11-13","",""
"Renoster","Reno","F","2021-11-15","",""
"Yamp","Yam","M","2021-11-16","",""
"Rimpel","Rimp","F","2021-11-18","",""
"Sitrus","Sitr","F","2021-11-18","",""
"Miskien","Misk","F","2021-11-19","",""
"Daila","Dail","F","2021-11-20","",""
"Disco","Dis","M","2021-11-21","",""
"Danielle","Dani","F","2021-11-22","",""
"Sampion","Samp","F","2021-11-22","",""
"Bahamas","Baha","F","2021-11-27","",""
"Tiki","Tik","M","2021-11-30","",""
"Lola","Lola","F","2021-12-03","",""
"Delux","Del","M","2021-12-11","",""
"Derrick","Der","M","2021-12-11","",""
"Lucifer","Luc","M","2021-12-11","",""
"Yub","Yub","M","2021-12-21","",""
"Nelson","Nel","M","2022-03-17","",""
"Furry Glen","Fur","M","2022-03-19","",""
"Capri","Cap","M","2022-03-28","",""
"Ibissa","Ibi","M","2022-06-09","",""
"Vryheid","Vry","M","2022-06-10","",""
"Formintira","For","M","2022-06-11","",""
"Ermelo","Erm","M","2022-06-16","",""
"New Male 3","","M","2022-06-16","",""
"Athena","Athe","F","2022-06-28","",""
"Circe","Circ","F","2022-06-28","",""
"Freyja","Frey","F","2022-06-28","",""
"Hera","Hera","F","2022-06-28","",""
"Medusa","Medu","F","2022-06-28","",""
"Pandora","Pand","F","2022-06-28","",""
"Zeus","Zeu","M","2022-06-28","",""
"Ryan","Rya","M","2022-07-06","",""
"Dakar","Dak","M","2022-09-10","",""
"Bug Eyes",NA,NA,NA,"",""
"Collin","Col","M",NA,"",""
"Fergie","Ferg","F",NA,"",""
"Gollum",NA,NA,NA,"",""
"Gosh",NA,NA,NA,"",""
"Heart",NA,NA,NA,"",""
"Imposter","Imp","M",NA,"",""
"Jamaica","Jama","F",NA,"",""
"Kurt Cubain","Kur","M",NA,"",""
"Little Notch",NA,NA,NA,"",""
"Madonna","Mado","F",NA,"",""
"Nostrils",NA,NA,NA,"",""
"Pitcairn","Pit","M",NA,"",""
"Red Hot","Red","M",NA,"",""
"SF2",NA,"F",NA,"",""
"Small Eyes",NA,"M",NA,"",""
"Tasmania","Tas",NA,NA,"",""
"Whidbey","Whid","F",NA,"",""
"Wierdo","Wier","F",NA,"",""
