LH_AnimalID,LH_AnimalCode,Sex,FirstDate,MiguelCorrected,MiguelComments
Bangalore,Bang,F,26/11/2020,,
Deja,Deja,F,07/12/2020,,
Loki,Loki,F,07/12/2020,,
Delta,Delt,F,11/12/2020,,
Gubudu,Gub,M,11/12/2020,,
Palmela,Palm,F,17/12/2020,,
Lugano,Lug,M,21/12/2020,,
Naartjie,Naa,M,21/12/2020,,
Ndondo,Ndo,M,04/01/2021,,
Sion,Sio,M,06/01/2021,,
Rimini,Rim,M,11/01/2021,,
Udupi,Udup,F,19/01/2021,,
Bougainville,Bou,M,24/03/2021,,
DodgyKnee,Dodg,F,16/04/2021,,
Bukubuku,Buk,M,11/05/2021,,
Tchakalaka,Tch,M,11/05/2021,,
Cayman,Cay,M,19/05/2021,,
WavyEars,WavyEars,M,21/05/2021,,
Goose,Goos,F,25/05/2021,,This individual has two identical entries
Duckie,Duc,M,27/05/2021,,
Okefenokee,Oke,M,31/05/2021,,
Tevere,Tev,M,31/05/2021,,
Holey,Hole,F,01/06/2021,,
PointyEars,PointyEars,M,01/06/2021,,
Zuni,Zuni,F,01/06/2021,,
Etosha,Eto,M,02/06/2021,,
Apa,Apa,M,04/06/2021,,
Momo,Mom,M,04/06/2021,,
BigEars,NA,M,06/06/2021,,
PlainJane,Pla,M,14/06/2021,,
Skhumbuzo,Skh,M,15/06/2021,,
Barry,Barr,F,28/07/2021,,
Clarence,Clar,F,28/07/2021,,
Elbar,Elba,F,28/07/2021,,
Nora,Nora,F,28/07/2021,,
Yodo,Yodo,F,03/10/2021,,
Nul,Nul,M,06/10/2021,,
Amstel,Amst,F,12/10/2021,,
Nukke,Nuk,M,18/10/2021,,
Piesang,Pie,M,18/10/2021,,
Xihau,Xih,M,21/10/2021,,
Gasket,Gas,M,25/10/2021,,
Montreal,Mon,M,25/10/2021,,
Askies,Ask,M,27/10/2021,,
Padkos,Padk,F,27/10/2021,,
Primavera,Prim,F,28/10/2021,,
Eier,Eie,M,02/11/2021,,
Ndlovu,Ndl,M,02/11/2021,,
Rafaela,Rafa,F,02/11/2021,,
Gomonqo,Gom,M,03/11/2021,,
Grive,Griv,F,03/11/2021,,
Haaigranaat,Haai,F,04/11/2021,,
Hemel,Hem,M,04/11/2021,,
Nkomo,Nko,M,04/11/2021,,
Omelet,Ome,M,04/11/2021,,
Galeria,Gale,F,05/11/2021,,
Nyala,Nyal,F,05/11/2021,,
Purper,Pur,M,05/11/2021,,
Utica,Utic,M,06/11/2021,,
Bethlehem,Bet,M,08/11/2021,,
Rivas,Riva,F,08/11/2021,,
Xarès,Xar,M,08/11/2021,,
Nihiru,Nihi,F,09/11/2021,,
Nooit,Noo,M,09/11/2021,,
Slang,Sla,M,09/11/2021,,
