bad_name,main_group,good_name,full_name,sex,notes
Raba ,Noha,Raba,Rabat,F,
Ram ,Noha,Ram,Rambouillet,M,
Ramb,Noha,Ram,Rambouillet,M,
Rambouillet,Noha,Ram,Rambouillet,M,
Rabat,Noha,Raba,Rabat,F,
Baby Roma 2016,Noha,Raba,Rabat,F,
Baby Pret 2015,Noha,Pru,Pruszkow,M,
Rioj ,Noha,Rioj,Rioja,F,
Rioja,Noha,Rioj,Rioja,F,
Baby Roma 2017,Noha,Rioj,Rioja,F,
Uranium City,Noha,Ura,Uranium,M,
Uran,Noha,Ura,Uranium,M,
Ura ,Noha,Ura,Uranium,M,
Baby Upps 2017,Noha,Ura,Uranium,M,
Baby Xala 2017,Noha,Xal,Xaltepec,M,
Baby Xian 2016,Noha,Xia,Xiashan,M,
Baby Xian 2017,Noha,Xin,Xinji,M,
Baby Xian 2018,Noha,,,,
Guat ,Noha,Guat,Guatemala,,
Baby Gene 2016,Noha,Guat,Guatemala,,
Gla.,Noha,Gla,Glastonbury,,
Pret.,Noha,Pret,Pretoria,,
Pretl,Noha,Pret,Pretoria,,
ula,Noha,Ula,Ulanbaatar,,
..Xian,Noha,Xian,Xian,F,
.Can,Noha,Can,Cancun,,
.Xian,Noha,Xian,Xian,F,
Gov..,Noha,Gov,Govu,,
Gov.,Noha,Gov,Govu,,
Gov…,Noha,Gov,Govu,,
xian,Noha,Xian,Xian,F,
Govv,Noha,Gov,Govu,,
Upps.,Noha,Upps,Uppsala,,
Uppsl,Noha,Upps,Uppsala,,
upss,Noha,Upps,Uppsala,,
uji,Noha,Uji,Uji,,
Rosl ,Noha,Rosl,Roslin,F,
Bamako,Noha,Bam,Bamako,M,
Bari ,Noha,Bari,Bari,F,
Bar ,Noha,Bari,Bari,F,
Bama,Noha,Bam,Bamako,M,
Bam ,Noha,Bam,Bamako,M,
Bela ,Noha,Bela,Bela-Bela,F,
Baby Bela 2019 ,Noha,Baby Bela 2019,Baby Bela 2019,,
Beir ,Noha,Beir,Beirut,F,
Bei,Noha,Beir,Beirut,F,
Beirut,Noha,Beir,Beirut,F,
baby Bela 2019,Noha,Baby Bela 2019,Baby Bela 2019,F,
Bela-Bela,Noha,Bela,Bela-Bela,F,
bela,Noha,Bela,Bela-Bela,F,
Bemi ,Baie Dankie,Bemi,Beminde,F,
Bem,Baie Dankie,Bemi,Beminde,F,
New male blind eye,Baie Dankie,Bin/Kom,Bin/Kom,M,
Bin,Baie Dankie,Bin/Kom,Bingo/JM,M,
 Kom,Baie Dankie,Bin/Kom,Bingo/JM,M,
New male blind,Baie Dankie,Bin/Kom,Bingo/JM,M,
Unknown New male,Baie Dankie,Bin/Kom,Bingo/JM,M,
Unknown new bd male,Baie Dankie,Bin/Kom,Bingo/JM,M,
Unknown male (now blind eye),Baie Dankie,Bin/Kom,Bingo/JM,M,
Bingo,Baie Dankie,Bin/Kom,Bingo/JM,M,
Blixem,Baie Dankie,,,,
Bog,Noha,Bogo,Bogota,F,
 Bogo,Noha,Bogo,Bogota,F,
Baby Bogo 2012 ,Noha,Baby Bogo 2012,Baby Bogo 2012,,
baby Bogo 2012,Noha,Baby Bogo 2012,Baby Bogo 2012,,
Bogota,Noha,Bogo,Bogota,F,
Bogo ,Noha,Bogo,Bogota,F,
bos,Noha,Bos,Boston,,
Bos ,Noha,Bos,Boston,M,
Boston,Noha,Bos,Boston,M,
Boston ,Noha,Bos,Boston,M,
Boston .,Noha,Bos,Boston,M,
Bra,Noha,Bras,Brasilia,F,
 Bras,Noha,Bras,Brasilia,F,
Bri ,Noha,Bri,Brisbane,M,
Bris,Noha,Bri,Brisbane,M,
Brisbane,Noha,Bri,Brisbane,M,
Bras.,Noha,Bras,Brasilia,F,
Brasilia,Noha,Bras,Brasilia,F,
Bras ,Noha,Bras,Brasilia,F,
Broken tail,Baie Dankie,Mad,Madagascar,M,no idea!
Broken tail male,Baie Dankie,Mad,Madagascar,M,
Baby Bemi 2013 ,Baie Dankie,Baby Bemi 2013,Baby Bemi 2013,,
Bu,Baie Dankie,Bul,Bullebak,M,
 Bul,Baie Dankie,Bul,Bullebak,M,
Bul ,Baie Dankie,Bul,Bullebak,M,
Ca,Noha,,,,Cancun or Cameron?
Cancun,Noha,Can,Cancun,M,
ch,Noha,,,,Chernobyl or Charles
Ch,Noha,,,,Chernobyl or Charles
Ch ,Noha,,,,Chernobyl or Charles
che,Baie Dankie,Che,Chernobyl,M,
 Che ,Noha,Che,Chernobyl,M,
Che ,Noha,Che,Chernobyl,M,
Chernobyl,Baie Dankie,Che,Chernobyl,M,
Chou,Baie Dankie,Chou,,,or Engel (Chouchou/JC)
Chouchou,Baie Dankie,Chou,,,or Engel (Chouchou/JC)
Dag,Baie Dankie,Dagg,Dagga,F,
Dagga,Baie Dankie,Dagg,Dagga,F,
Dag ,Baie Dankie,Dagg,Dagga,F,
 Dap,Baie Dankie,Dap,Dapper,M,
Dap ,Baie Dankie,Dap,Dapper,M,
dap ,Baie Dankie,Dap,Dapper,M,
Daper,Baie Dankie,Dap,Dapper,M,
Dapper,Baie Dankie,Dap,Dapper,M,
Do ,Baie Dankie,,,,Donsig or Dokos?
Does Not Apply,Noha,,,,
 Don ,Baie Dankie,Don,Donsig,M,
Don ,Baie Dankie,Don,Donsig,M,
Donsig,Baie Dankie,Don,Donsig,M,Donsig or Dokos?
'downlip',Baie Dankie,,,,
Du,Noha,Dub,Dublin,M,
 Dwe,Baie Dankie,Dwe,Dwergie,M,
Dwergie,Baie Dankie,Dwe,Dwergie,M,
Dw,Baie Dankie,Dwe,Dwergie,M,
Dwe ,Baie Dankie,Dwe,Dwergie,M,
 eina,Baie Dankie,Eina,Eina,,
 Eina ,Baie Dankie,Eina,Eina,F,
Baby Eina 2018 ,Baie Dankie,Baby Eina 2018,Baby Eina 2018,,
Baby eina 2018,Baie Dankie,Baby Eina 2018,Baby Eina 2018,,
 Eina,Baie Dankie,Eina,Eina,F,
Eina ,Baie Dankie,Eina,Eina,F,
Enge ,Baie Dankie,Enge,Engels,F,Enge was before Chouchou
chou,Baie Dankie,Enge,Engels,F,
Chou,Baie Dankie,Enge,Engels,F,
 Enge,Baie Dankie,Enge,Engels,F,
Enge (Chou),Baie Dankie,Enge,Engels,F,
Engels,Baie Dankie,Enge,Engels,F,
Er,Baie Dankie,Ert,Ertjies/JA,M,
Er ,Noha,Ert,Ertjies/JA,M,
Ert,Noha,Ert,Ertjies/JA,M,
Ert ,Noha,Ert,Ertjies/JA,M,
Fee ,Baie Dankie,Feek,Feekie,F,
Foei ,Baie Dankie,Foei,Foei,F,
Foe,Baie Dankie,Foei,Foei,F,
Foe ,Baie Dankie,Foei,Foei,F,
Baby Siel 2016 ,Baie Dankie,Baby Siel 2016,Baby Siel 2016,,
Baby siel 2016,Baie Dankie,Baby Siel 2016,Baby Siel 2016,,
Sig ,Baie Dankie,Sig,Sigaret,M,
Baby Siel 2018,Baie Dankie,Sig,Sigaret,M,
Siga,Baie Dankie,Sig,Sigaret,M,
Feek ,Baie Dankie,Feek,Feekie,F,
Fee,Baie Dankie,Feek,Feekie,F,
Ga,Noha,,,,2 letter; Gaaf? But different main group
Gaa ,Baie Dankie,Gaa,Gaaf,M,4 letter
Unk 1Yo ,Noha,Unk 1Yo,Unk 1Yo,,
Gaaf  ,Baie Dankie,Gaa,Gaaf,M,4 letter
 Gaa,Baie Dankie,Gaa,Gaaf,M,4 letter
 Gaaf,Baie Dankie,Gaa,Gaaf,M,4 letter
Baby Gese 2017 ,Baie Dankie,Baby Gese 2017,Baby Gese 2017,,
baby Gese 2917,Baie Dankie,Baby Gese 2017,Baby Gese 2017,,
Goed,Baie Dankie,Goe,Goed,M,
Goe ,Baie Dankie,Goe,Goed,M,
 Gaaf ,Baie Dankie,Gaa,Gaaf,M,4 letter
Gaaf ,Baie Dankie,Gaa,Gaaf,M,4 letter
Gaia,Noha,,,,
Gar,Noha,,,,Garoua or Garry?
Gay,Noha,Gaya,Gaya,F,
 Gaya,Noha,Gaya,Gaya,F,
Baby Gaya 2018 ,Noha,Baby Gaya 2018,Baby Gaya 2018,,
baby Gaya 2018,Noha,Baby Gaya 2018,Baby Gaya 2018,,
Baby Gaya 2019 ,Noha,Baby Gaya 2019 ,Baby Gaya 2019 ,,
baby Gaya 2019 ,Noha,Baby Gaya 2019 ,Baby Gaya 2019 ,,
Gaya ,Noha,Gaya,Gaya,F,
Gaya.,Noha,Gaya,Gaya,F,
gen,Noha,Gene,Geneva,F,
Gen,Noha,Gene,Geneva,F,
Gen ,Noha,Gene,Geneva,F,
Baby Gene 2018 ,Noha,Baby Gene 2018,Baby Gene 2018,,
baby Gene 2018,Noha,Baby Gene 2018,Baby Gene 2018,,
Gar ,Noha,Gar,Garoua,M,
Garo,Noha,Gar,Garoua,M,
 Gene,Noha,Gene,Geneva,F,
Gene ,Noha,Gene,Geneva,F,
gese,Baie Dankie,Gese,Gesels (Little boks/JG),F,
 Gese,Baie Dankie,Gese,Gesels (Little boks/JG),F,
Gesels,Baie Dankie,Gese,Gesels (Little boks/JG),F,
Gese ,Baie Dankie,Gese,Gesels (Little boks/JG),F,
Gese (LBoks),Baie Dankie,Gese,Gesels (Little boks/JG),F,"Gese was previously Lboks, but it's now Gesel now"
Prague,Noha,Prag,Prague,F,
Prag ,Noha,Prag,Prague,F,
Gla ,Noha,Gla,Glastonburry,M,
Glastonberry,Noha,Gla,Glastonburry,M,
Gov ,Noha,Gov,Govu,M,
Gr,Noha,,,,Greenland? there's also a Granada(F)
Gr ,Noha,,,,Greenland? there's also a Granada(F)
gran,Noha,Gran,Granada,,
Grana,Noha,Gran,Granada,F,
Gran ,Noha,Gran,Granada,F,
Gu,Noha,,,,"gubh, gugu, guns and roses, gunya, guyaquil"
Guya,Noha,Guy,Guyaquil,M,
Guy ,Noha,Guy,Guyaquil,M,
Hak,Baie Dankie,Haki,Hakie,F,
Hak ,Baie Dankie,Haki,Hakie,F,
Hakie,Baie Dankie,Haki,Hakie,F,
Hakie ,Baie Dankie,Haki,Hakie,F,
haki,Baie Dankie,Haki,Hakie,F,
Baby Haki 2011 ,Baie Dankie,Baby Haki 2011,Baby Haki 2011,,
baby haki 2011 ,Baie Dankie,Baby Haki 2011,Baby Haki 2011,,
Baby haki 2011 ,Baie Dankie,Baby Haki 2011,Baby Haki 2011,,
Haki ,Baie Dankie,Haki,Hakie,F,
Ham ,Baie Dankie,Ham,Hamlet/SMA,M,
 Ham,Baie Dankie,Ham,Hamlet/SMA,M,
Hamlet,Baie Dankie,Ham,Hamlet/SMA,M,
heelal,Baie Dankie,Hee,Heelal,M,
Hee ,Baie Dankie,Hee,Heelal,M,
hee ,Baie Dankie,Hee,Heelal,M,
hee,Baie Dankie,Hee,Heelal,M,
heer ,Baie Dankie,Heer,Heerlik,F,
Heer  ,Baie Dankie,Heer,Heerlik,F,
Heerlik,Baie Dankie,Heer,Heerlik,F,it's Heer
Rat ,Baie Dankie,Rat,Ratel,M,
Rat.,Baie Dankie,Rat,Ratel,M,
rat,Baie Dankie,Rat,Ratel,M,
 Ratel,Baie Dankie,Rat,Ratel,M,
Rust ,Baie Dankie,Rust,Rustig,F,
Rus,Baie Dankie,Rust,Rustig,F,
Ridd,Baie Dankie,Rid,Ridder,M,
Rid ,Baie Dankie,Rid,Ridder,M,
Baby Rede 2019 ,Baie Dankie,Baby Rede 2019,Baby Rede 2019,,
Reen,Baie Dankie,Ree,Reenbog,M,
Ree ,Baie Dankie,Ree,Reenbog,M,
Ratel ,Baie Dankie,Rat,Ratel,M,
Ratel,Baie Dankie,Rat,Ratel,M,
heer,Baie Dankie,Heer,Heerlik,F,
heer ,Baie Dankie,Heer,Heerlik,F,
Baby Heer 2019 ,Baie Dankie,Baby Heer 2019,Baby Heer 2019,,
Baby heer 2019,Baie Dankie,Baby Heer 2019,Baby Heer 2019,,
baby heer 2019,Baie Dankie,Baby Heer 2019,Baby Heer 2019,,
 Heer,Baie Dankie,Heer,Heerlik,F,
Heer ,Baie Dankie,Heer,Heerlik,F,
Hei ,Baie Dankie,Hei,Heilweis,M,
