"AnimalID","LH_AnimalCode","Age_yr","Age_class"
"Ginqinka","Ginq",8.37,"adult"
"Giya","Giy",11.4,"adult"
"Glastonbury","Gla",9.3,"adult"
"Gobela","Gobe",1.28,"juvenile"
"Goduka","Godu",5.38,"adult"
"Goed","Goe",4.33,"sub-adult"
"Gollum",NA,NA,NA
"Gomonqo","Gom",1.3,"juvenile"
"Gosh",NA,NA,NA
"Govu","Gov",NA,NA
"Granada","Gran",8.23,"adult"
"Greenbay","Gree",3.3,"juvenile"
"Greenland",NA,8.3,"adult"
"Griffin","Gri",2.25,"juvenile"
"Griselles","Gris",4.2,"adult"
"Grive","Griv",1.3,"juvenile"
"Grote","Gro",NA,NA
"Guatemala","Guat",6.26,"adult"
"Gubane","Guba",4.25,"adult"
"Gubha","Gubh",8.33,"adult"
"Gubudu","Gub",2.2,"juvenile"
"Gugu","Gugu",12.33,"adult"
"Gunsandroses","Gun",NA,NA
"Gunya","Guny",6.28,"adult"
"Gusha","Gus",2.27,"juvenile"
"Guyaquil","Guy",12.33,"adult"
"Guzunga","Guz",4.32,"sub-adult"
"Haaigranaat","Haai",1.3,"juvenile"
"Hakie","Haki",NA,NA
"Halfy","Hal",10.25,"adult"
"Hamba","Hamb",NA,NA
"Hamlet","Ham",NA,NA
"Handi","Han",NA,NA
"Harry","Har",NA,NA
"Hasie","Has",7.28,"adult"
"Heart",NA,NA,NA
"Heelal","Hee",5.32,"adult"
"Heerlik","Heer",NA,NA
"Heilweis","Hei",8.33,"adult"
"Heleza","Hele",NA,NA
"Helikopter","Heli",2.26,"juvenile"
"Helmet","Hel",NA,NA
"Hemel","Hem",1.3,"juvenile"
"Henderson","Hen",NA,NA
"Hera","Hera",NA,NA
"Heyi","Hey",10.38,"adult"
"Hiasint","Hia",4.33,"sub-adult"
"Hibe","Hib",12.33,"adult"
"Hibiscus","Hibi",6.24,"adult"
"Hippie","Hipp",10.36,"adult"
"Hleka","Hlek",NA,NA
"Hlokoloza","Hlo",10.19,"adult"
"Hluhluwe","Hlu",8.37,"adult"
"Hola","Hol",10.47,"adult"
"Holey","Hole",NA,NA
"Hondjie","Hond",6.24,"adult"
"Huge","Huge",NA,NA
"Humusha","Hum",8.44,"adult"
"Hwahwaza","Hwa",11.46,"adult"
"Iceland","Icel",NA,NA
"Idwala","Idwa",11.31,"adult"
"Ifu","Ifu",12.33,"adult"
"Iggy","Igg",NA,NA
"Ihlane","Ihl",8.32,"adult"
"Ijinja","Iji",10.39,"adult"
"Ilonga","Ilon",9.32,"adult"
"Imposter","Imp",NA,NA
"India","Indi",NA,NA
"Inhlanhla","Inhl",NA,NA
"Inkwazi","Inkw",9.28,"adult"
"Inner","Inn",NA,NA
"Intaba","Int",8.26,"adult"
"Ireland","Ire",NA,NA
"Ischia","Isc",NA,NA
"Isilonda","Isil",NA,NA
"Istanbul","Ist",NA,NA
"Izulu","Izu",NA,NA
"Jackie","Jac",NA,NA
"Jagerbomb","Jag",NA,NA
"Jakarta","Jaka",NA,NA
"Jalitah",NA,NA,NA
"Jamaica","Jama",NA,NA
"James","Jam",NA,NA
"Jane","Jane",7.12,"adult"
"Japan","Jap",NA,NA
"Java","Java",NA,NA
"Jeddah","Jed",8.34,"adult"
"Jelly","Jell",5.35,"adult"
"Jenny","Jenn",NA,NA
"Jersey","Jers",NA,NA
"Jiamusi","Jia",7.3,"adult"
"Jillin","Jill",10.38,"adult"
"Jimmyhendricks","Jim",NA,NA
"Jinka","Jink",12.28,"adult"
"Jixi","Jix",9.33,"adult"
"Joe","Joe",9.25,"adult"
"Johannesburg","Joha",7.33,"adult"
"Juneau","Jun",11.28,"adult"
