"LH_RowNumber","AnimalCode","AnimalName","OtherID"
323,"Gubh","Gubha",NA
324,"Ndi","Ndiza",NA
325,"BBus14","Baby Bushy 2014",NA
326,"BJin14","Baby Jink 2014",NA
327,"BPan14","Baby Pannekoekie 2014",NA
328,"Ihl","Ihlane",NA
329,"Safa","Safari",NA
330,"Lima","Lima",NA
331,"Riy","Riyadh",NA
332,"Ass","Asseblief",NA
333,"Rede","Redelik",NA
334,"BNie14","Baby Niese 2014",NA
335,NA,"Greenland",NA
336,"Ted","Teddibeer","Christmas;Blinky"
337,"Xiny","Xinyi",NA
338,"Obe","Obelisk",NA
339,"Pro","Propriano","Prague"
340,"Tha","Thames",NA
341,"Kyl","Kyle",NA
342,"Int","Intaba",NA
343,"Nooi","Nooiens",NA
344,"Bela","Bela-Bela",NA
345,"Gran","Granada",NA
346,"Umt","Umtata",NA
347,"Mal","Malawi",NA
348,"Mer","Mercury",NA
349,"Con","Cone",NA
350,NA,"Curious",NA
351,"Elle","Ellesmere",NA
352,"Icel","Iceland",NA
353,"Jap","Japan",NA
354,"Ker","Kergelen",NA
355,"Pal","Pale",NA
356,"Piz","Pizza",NA
357,"Sol","Solomon",NA
358,"Anta","Antarctica",NA
359,"Mack","Mackanzie","Asiatic"
360,"Boc","Bocold",NA
361,"Han","Handi",NA
362,"Hel","Helmet",NA
363,"Inn","Inner",NA
364,"Lion","Lionel",NA
365,"Mac","Macedonia",NA
366,"Samo","Samoa",NA
367,"Sey","Seychelles",NA
368,NA,"The Mask",NA
369,"Chil","Chiloe",NA
370,"Cuba","Cuba","kinktail"
371,"Fla","Flatty",NA
372,"Gala","Galapagos",NA
373,"Hen","Henderson",NA
374,"Tong","Tonga",NA
375,"Whis","Whiskers",NA
376,"Xiu","Xiushan","Decoloured"
377,"Sym","Symetric","Simetric"
378,"Lohi","Lohihi",NA
379,"Huge","Huge",NA
380,"Oahu","Oahu",NA
381,"Poi","Pointy",NA
382,"Sumb","Sumbawa",NA
383,"Umna","Umnak",NA
384,"Bas","Base",NA
385,"Olo","Olona","Bumpy head male"
386,"Ati","Atitlan","Male with bright eyerings"
387,"Lif","Liffey",NA
388,"Oka","Okavango",NA
389,"Wes","Wesley",NA
390,"Col","Colorado",NA
391,"Smas","Smashy","Mous"
392,"Tort","Tortuga","broken finger"
393,"Daen","Daenerys",NA
394,"Van","Vancouver",NA
395,"Pia","Pianosa",NA
396,"Robb","Robben",NA
397,"Mart","Martinique",NA
398,"Barb","Barbados",NA
399,"Dulc","Dulcina",NA
400,"BZei15","Baby Zeia 2015",NA
401,"Lill","Lilly",NA
402,"BTro15","Baby Troi 2015",NA
403,"Gala","Galati",NA
404,"BAmu15","Baby Amur 2015",NA
405,"Zav","Zave",NA
406,"Joha","Johannesburg",NA
407,"BIsi15","Baby Isil 2015",NA
408,"BGha15","Baby Ghan 2015",NA
409,"BSno15","Baby Snortjie 2015",NA
410,"Nirt","Nirtjies",NA
411,"Ire","Ireland",NA
412,"BNes15","Baby Ness 2015",NA
413,"Jia","Jiamusi",NA
414,"Midd","Middag",NA
415,"Bri","Brisbane",NA
416,"BMam15","Baby Mamo 2015",NA
417,"BAar15","Baby Aare 2015",NA
418,"BNko15","Baby Nkos 2015",NA
419,"Pap","Papsak",NA
420,"Ric","Richard",NA
421,"Rasp","Raspberry",NA
422,"Eve","Everest",NA
423,"Kil","Kilimanjaro",NA
424,"BGug15","Baby Gugu 2015",NA
425,"Ula","Ulaanbaatar",NA
426,"Zhu","Zhukovsky",NA
427,"BDia15","Baby Diana 2015",NA
428,"Law","Lawrence",NA
429,"BIdw15","Baby Idwa 2015",NA
430,"Bari","Bari",NA
431,"Has","Hasie",NA
432,"Oort","Oortjies",NA
433,"Add","Adder",NA
434,"Pru","Pruszkow",NA
