"LH_RowNumber","AnimalCode","AnimalName","Sex"
352,"Icel","Iceland","F"
132,"Idwa","Idwala","F"
6,"Ifu","Ifu","M"
287,"Igg","Iggy","M"
328,"Ihl","Ihlane","M"
209,"Iji","Ijinja","M"
257,"Ilon","Ilonga","F"
709,"Imp","Imposter","M"
235,"Indi","India","F"
166,"Inhl","Inhlanhla","F"
265,"Inkw","Inkwazi","F"
363,"Inn","Inner","M"
342,"Int","Intaba","M"
411,"Ire","Ireland","M"
503,"Isc","Ischia","M"
62,"Isil","Isilonda","F"
58,"Ist","Istanbul","M"
167,"Izu","Izulu","M"
108,"Jac","Jackie","M"
278,"Jag","Jagerbomb","M"
74,"Jaka","Jakarta","F"
710,"Jama","Jamaica","F"
80,"Jam","James","M"
450,"Jane","Jane","F"
353,"Jap","Japan","M"
455,"Java","Java","F"
310,"Jed","Jeddah","M"
508,"Jell","Jelly","F"
288,"Jenn","Jenny","F"
516,"Jers","Jersey","F"
413,"Jia","Jiamusi","M"
213,"Jill","Jillin","F"
67,"Jim","Jimmy Hendricks","M"
37,"Jink","Jinka","F"
255,"Jix","Jixi","M"
290,"Joe","Joe","M"
406,"Joha","Johannesburg","F"
136,"Jun","Juneau","M"
22,"Kaik","Kaiki","F"
68,"Kare","Karen Zoid","F"
445,"Kate","Kate","F"
441,"Kau","Kauai","M"
240,"Kaya","Kaya","F"
597,"Kek","Kekeke","M"
285,"Ken","Kenneth","M"
354,"Ker","Kergelen","M"
41,"Kie","Kies","M"
423,"Kil","Kilimanjaro","M"
838,"Kno","Knoffel","M"
810,"Kny","Knysna","M"
541,"Kodi","Kodiak","F"
484,"Kom","Kommunis","M"
148,"Koni","Koninging","F"
542,"Koo","Kookoolegit","M"
316,"Krak","Krakatoa","F"
711,"Kur","Kurt Cubain","M"
341,"Kyl","Kyle","M"
547,"Lail","Laila","F"
622,"Lamp","Lampshade","F"
317,"Lanc","Lancey","F"
589,"Lar","Larry","M"
232,"Laur","Laurel","F"
86,"Laus","Lausanne","F"
498,"Lava","Lavander","F"
428,"Law","Lawrence","M"
