"AnimalID","Natal"
"Mooi","Yes"
"Moonie","Yes"
"Mousse","Yes"
"Moya","Yes"
"Mpukuvane","Yes"
"Muis","Yes"
"Mungunya","Yes"
"Mvula","Yes"
"Naaldekoker","Yes"
"Naartjie","Yes"
"Nahoon","Yes"
"Nakhu","Yes"
"Nala","Yes"
"Namnam","Yes"
"Nantucket","Yes"
"Napoli","No"
"Ncoko","Yes"
"Ndanda","Yes"
"Ndawonya","Yes"
"Ndiki","Yes"
"Ndiza","Yes"
"Ndlovu","Yes"
"Ndondo","Yes"
"Ndonsa","Yes"
"Ndumiso","Yes"
"Nelson","No"
"Nessie","Yes"
"Neuchatel","Yes"
"Newmale","No"
"Newmale3","No"
"Newton","No"
"Ngenakubo","Yes"
"Ngubu","Yes"
"Niese","Yes"
"Nihau","Yes"
"Nihiru","Yes"
"Nil","No"
"Nirtjies","Yes"
"Nkomo","Yes"
"Nkosikasi","Yes"
"Nkunzi","Yes"
"Noah","Yes"
"Noktober","Yes"
"Nonnitgie","Yes"
"Nooiens","Yes"
"Nooit","Yes"
"Nora","Yes"
"Nostrils","Yes"
"Nuclides","Yes"
"Nugget","Yes"
"Nukke","Yes"
"Nul","Yes"
"Numbies","Yes"
"Nurks","Yes"
"Nuuskierig","Yes"
"Nyala","Yes"
"Nyanga","Yes"
"Nyoni","Yes"
"Oahu","Yes"
"Obelisk","Yes"
"Obsessie","Yes"
"Oerwoud","Yes"
"Ogies","Yes"
"Okavango","No"
"Okefenokee","No"
"Okuncane","Yes"
"Oliver","Yes"
"Olona","No"
"Omelet","Yes"
"Onbeskof","Yes"
"Oom","No"
"Oortjies","Yes"
"Oscar","No"
"Ouagadougou","No"
"Oulik","Yes"
"Ouma","Yes"
"Oupa","Yes"
"Padkos","Yes"
"Pale","Yes"
"Palmela","Yes"
"Pandora","Yes"
"Pannekoekie","Yes"
"Papp","Yes"
"Papsak","Yes"
"Paris","Yes"
"Patlansky","No"
"Pearl","Yes"
"Pianosa","No"
"Pieperig","Yes"
"Piesang","Yes"
"Pik","No"
"Pikito","Yes"
"Pink","Yes"
"Pitcairn","No"
"Pixsel","Yes"
"Pizza","Yes"
"Plainjane","Yes"
"Plesier","Yes"
"Poeding","Yes"
"Pofferthie","Yes"
"Pointy","Yes"
"Pointyears","Yes"
"Pomelo","Yes"
"Pompon","Yes"
"Poppie","Yes"
"Potjie","Yes"
"Praia","Yes"
"Pratella","Yes"
"Pretoria","Yes"
"Primavera","Yes"
