"AnimalID","Sex"
"Xihau","M"
"Xinji","M"
"Xinpu","F"
"Xinyi","F"
"Xiushan","M"
"Xopo","M"
"Xoxocotla","M"
"Yalu","F"
"Yamp","M"
"Yamuna","F"
"Yangtze","M"
"Yaounde","F"
"Yara","F"
"Yazoo","M"
"Yell","M"
"Yellowstone","F"
"Yenissei","F"
"Yodo","F"
"Yonne","M"
"Yoogali","F"
"Yster","M"
"Yub","M"
"Yukon","F"
"Yzeron","M"
"Zaire","F"
"Zambezi","M"
"Zankara","F"
"Zanzibar","M"
"Zara","F"
"Zave","M"
"Zeerust","M"
"Zeia","F"
"Zeus","M"
"Zhengzhou","M"
"Zhukovsky","M"
"Zinkwazi","F"
"Zion","M"
"Zuni","F"
"Zurich","M"
