"AnimalID","From","To","Group","Source","NatalGroup","GroupNB"
"Babyndaw2021",2021-11-18,2021-11-20,"AK","Natal_DOB_Disappeared","Yes",1
"Babyness2015",2015-11-09,2016-01-29,"KB","Natal_DOB_Disappeared","Yes",1
"Babynessie2019",2019-10-24,2019-10-24,"KB","Natal_DOB_Disappeared","Yes",1
"Babyniese2014",2014-11-11,2014-12-26,"BD","Natal_DOB_Disappeared","Yes",1
"Babynkos2015",2015-11-12,2016-03-07,"AK","Natal_DOB_Disappeared","Yes",1
"Babynumbies2017",2017-09-25,2017-10-09,"BD","Natal_DOB_Disappeared","Yes",1
"Babynumbies2019",2019-10-03,2019-10-03,"BD","Natal_DOB_Disappeared","Yes",1
"Babynurks2018",2018-11-14,2019-02-04,"BD","Natal_DOB_Disappeared","Yes",1
"Babynyanga2018",2018-12-24,2018-12-24,"AK","Natal_DOB_Disappeared","Yes",1
"Babynyanga2020",2020-11-21,2021-01-16,"AK","Natal_DOB_Disappeared","Yes",1
"Babyoahu2015",2015-12-17,2016-01-14,"CR","Natal_NoDOB_Disappeared","Yes",1
"Babyoahu2017",2017-10-10,2017-10-10,"CR","Natal_DOB_Disappeared","Yes",1
"Babyoerw2021",2021-12-06,2021-12-12,"BD","Natal_DOB_Disappeared","Yes",1
"Babyouli2021",2021-10-09,2021-10-09,"BD","Natal_DOB_Disappeared","Yes",1
"Babypannekoekie2014",2014-11-03,2014-12-11,"BD","Natal_DOB_Disappeared","Yes",1
"Babypannekoekie2017",2017-10-12,2017-12-21,"BD","Natal_DOB_Disappeared","Yes",1
"Babypannekoekie2019",2019-11-04,2019-11-05,"BD","Natal_DOB_Disappeared","Yes",1
"Babypearl2015",2015-12-03,NA,"KB","Natal_DOB_Splinter","Yes",1
"Babypotjie2019",2019-10-25,2019-10-29,"BD","Natal_DOB_Disappeared","Yes",1
"Babypret2021",2021-10-05,2021-10-05,"NH","Natal_DOB_Disappeared","Yes",1
"Babypretoria2019",2019-11-06,2019-11-06,"NH","Natal_DOB_Disappeared","Yes",1
"Babypuolka2019",2019-10-22,2019-10-23,"BD","Natal_DOB_Disappeared","Yes",1
"Babyredelik2019",2019-10-19,2019-10-19,"BD","Natal_DOB_Disappeared","Yes",1
"Babyrenn2020",2020-11-22,2020-12-29,"NH","Natal_DOB_Disappeared","Yes",1
"Babyreva2019",2019-10-23,2019-10-26,"NH","Natal_DOB_Disappeared","Yes",1
"Babyrosl2020",2020-11-03,2020-12-13,"NH","Natal_DOB_Disappeared","Yes",1
"Babyroxanne2017",2017-10-16,2018-02-19,"LT","Natal_DOB_Disappeared","Yes",1
"Babyruby2017",2017-11-03,2017-12-17,"LT","Natal_DOB_Disappeared","Yes",1
"Babysnortjie2015",2015-11-06,2015-11-06,"BD","Natal_DOB_Disappeared","Yes",1
"Babysuzy2014",2014-10-11,2015-02-25,"LT","Natal_DOB_Disappeared","Yes",1
"Babytere2014",2014-10-22,2015-02-20,"LT","Natal_DOB_Disappeared","Yes",1
"Babytip2012",2012-10-09,2012-11-13,"BD","Natal_DOB_Emi","Yes",1
"Babytip2012",2012-11-13,2012-11-13,"InBetweeners","Immigrants1_NoImmiDate_Natal","No",2
"Babytonga2015",2015-11-27,2015-12-27,"CR","Natal_DOB_Disappeared","Yes",1
"Babytroi2015",2015-10-22,2015-12-11,"NH","Natal_DOB_Disappeared","Yes",1
"Babyumnak2015",2015-11-28,2016-01-13,"CR","Natal_DOB_Disappeared","Yes",1
"Babyupp2012",2012-10-19,2012-11-03,"NH","Natal_DOB_Disappeared","Yes",1
"Babyvict2014",2014-10-28,2015-01-16,"LT","Natal_DOB_Disappeared","Yes",1
"Babywietnie2013",2013-11-12,2013-11-12,"BD","Natal_DOB_Disappeared","Yes",1
"Babyxalapa2018",2019-01-21,2019-01-21,"NH","Natal_DOB_Disappeared","Yes",1
"Babyxalapa2019",2019-10-30,2019-10-30,"NH","Natal_DOB_Disappeared","Yes",1
"Babyxian2019",2019-10-24,2019-10-26,"NH","Natal_DOB_Disappeared","Yes",1
"Babyyalu2020",2020-12-01,2021-01-15,"KB","Natal_DOB_Disappeared","Yes",1
"Babyyaou2014",2014-10-09,2015-01-17,"NH","Natal_DOB_Disappeared","Yes",1
"Babyzeia2015",2015-10-15,2015-11-03,"KB","Natal_DOB_Disappeared","Yes",1
"Babyzuni2021",2021-11-11,2022-04-16,"CR","Natal_NoDOB_Disappeared","Yes",1
"Bahamas",2021-11-27,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Bali",2018-04-09,2022-11-17,"CR","Natal_NoDOB_NonMigrant_Alive","Yes",1
"Bamako",2011-11-01,2013-02-21,"NH","Natal_DOB_Disappeared","Yes",1
"Bangalore",2020-11-26,2021-02-20,"NH","Natal_DOB_Disappeared","Yes",1
"Bari",2015-11-18,2016-04-13,"NH","Natal_DOB_Emi","Yes",1
